tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1983$301,Auckland,Hard,32,A,19830110,24,100326,2,"",Russell Simpson,R,188,NZL,28.8624229979,50,0,100605,"","",Charlie Fancutt,R,178,AUS,23.5482546201,207,0,6$4 6$4,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,25,100244,1,"",John Alexander,R,190,AUS,31.5017111567,31,0,100749,"","",Dave Siegler,R,,USA,21.5934291581,237,0,6$1 6$4,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,26,100474,3,"",Chris Lewis NZL,R,180,NZL,25.8206707734,57,0,100354,7,"",Bernard Mitton,R,188,RSA,28.1505817933,162,0,6$7 6$4 7$5,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,27,100285,5,"",Rod Frawley,R,185,AUS,30.3189596167,87,0,100714,"","",Broderick Dyke,L,183,AUS,22.006844627,179,0,6$2 6$1,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,28,100326,2,"",Russell Simpson,R,188,NZL,28.8624229979,50,0,100223,8,"",Jeff Simpson,R,,NZL,32.180698152,167,0,6$2 6$4,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,29,100244,1,"",John Alexander,R,190,AUS,31.5017111567,31,0,100474,3,"",Chris Lewis NZL,R,180,NZL,25.8206707734,57,0,7$6 6$4,3,SF,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,30,100326,2,"",Russell Simpson,R,188,NZL,28.8624229979,50,0,100285,5,"",Rod Frawley,R,185,AUS,30.3189596167,87,0,6$4 3$6 6$4,3,SF,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,31,100244,1,"",John Alexander,R,190,AUS,31.5017111567,31,0,100326,2,"",Russell Simpson,R,188,NZL,28.8624229979,50,0,6$4 6$3 6$3,5,F,,,,,,,,,,,,,,,,,,,,1983
1983$D016,Davis Cup AME R1: PER vs BRA,Clay,4,D,19830114,1,100221,"","",Carlos Kirmayr,R,173,BRA,,,,101074,"","",Carlos Di Laura,L,175,PER,,,,6$1 6$4 6$4,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D016,Davis Cup AME R1: PER vs BRA,Clay,4,D,19830114,2,100782,"","",Pablo Arraya,R,180,PER,,,,100393,"","",Marcos Hocevar,R,185,BRA,,,,6$3 2$6 6$1 6$3,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D016,Davis Cup AME R1: PER vs BRA,Clay,4,D,19830114,3,100221,"","",Carlos Kirmayr,R,173,BRA,,,,100782,"","",Pablo Arraya,R,180,PER,,,,8$6 7$5 6$4,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D016,Davis Cup AME R1: PER vs BRA,Clay,4,D,19830114,4,100393,"","",Marcos Hocevar,R,185,BRA,,,,101074,"","",Carlos Di Laura,L,175,PER,,,,8$6 6$2,3,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D036,Davis Cup G2 R1: SRI vs HKG,Clay,4,D,19830114,1,107680,"","",Mark Bailey,R,,HKG,,,,106580,"","",Arjun Fernando,R,,SRI,,,,7$5 6$3 7$5,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D036,Davis Cup G2 R1: SRI vs HKG,Clay,4,D,19830114,2,110886,"","",Frank Sebaratnam,U,,SRI,,,,110882,"","",Kelvin Ng,U,,HKG,,,,2$6 6$2 6$1 RET,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D036,Davis Cup G2 R1: SRI vs HKG,Clay,4,D,19830114,3,110886,"","",Frank Sebaratnam,U,,SRI,,,,107680,"","",Mark Bailey,R,,HKG,,,,7$5 3$6 2$6 6$4 6$4,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D036,Davis Cup G2 R1: SRI vs HKG,Clay,4,D,19830114,4,110981,"","",Paul Bailey,U,,HKG,,,,110887,"","",Arjun Perera,U,,SRI,,,,6$2 6$4 6$2,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D050,Davis Cup G2 R1: PHI vs MAS,Clay,4,D,19830114,1,110976,"","",Ody Gabriel,U,,PHI,,,,101349,"","",Adam Malik,R,193,MAS,,,,6$4 6$0 6$2,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D050,Davis Cup G2 R1: PHI vs MAS,Clay,4,D,19830114,2,108172,"","",Romeo Rafon,R,,PHI,,,,111071,"","",Roy Anchant,U,,MAS,,,,6$0 6$0 6$0,5,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D050,Davis Cup G2 R1: PHI vs MAS,Clay,4,D,19830114,3,110976,"","",Ody Gabriel,U,,PHI,,,,111072,"","",Abdul Rahman Ramlal,U,,MAS,,,,6$2 6$1,3,RR,,,,,,,,,,,,,,,,,,,,1983
1983$D050,Davis Cup G2 R1: PHI vs MAS,Clay,4,D,19830114,4,108172,"","",Romeo Rafon,R,,PHI,,,,101349,"","",Adam Malik,R,193,MAS,,,,6$0 6$0,3,RR,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,1,100532,"","",Johan Kriek,R,175,USA,24.7885010267,12,0,100445,"","",Steve Denton,R,188,USA,26.3682409309,13,0,6$3 4$6 6$2,3,R16,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,2,100676,"","",Yannick Noah,R,193,FRA,22.6694045175,9,0,100342,"","",Vitas Gerulaitis,R,183,USA,28.4818617385,5,0,4$6 6$3 6$2,3,R16,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,3,100555,"","",Jose Luis Clerc,R,185,ARG,24.424366872,6,0,101062,"","",Mats Wilander,R,183,SWE,18.4065708419,7,0,5$7 6$4 6$1,3,R16,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,4,100653,"","",Andres Gomez,L,193,ECU,22.8911704312,15,0,100300,"","",Jose Higueras,R,178,ESP,29.8836413415,11,0,0$6 6$2 6$4,3,R16,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,5,100284,"","",Jimmy Connors,L,178,USA,30.3764544832,2,0,100532,"","",Johan Kriek,R,175,USA,24.7885010267,12,0,7$6 6$2,3,QF,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,6,100656,"","",Ivan Lendl,R,188,USA,22.8665297741,3,0,100676,"","",Yannick Noah,R,193,FRA,22.6694045175,9,0,6$4 7$5,3,QF,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,7,100581,"","",John Mcenroe,L,180,USA,23.9206023272,1,0,100555,"","",Jose Luis Clerc,R,185,ARG,24.424366872,6,0,6$3 6$4,3,QF,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,8,100282,"","",Guillermo Vilas,L,180,ARG,30.4202600958,4,0,100653,"","",Andres Gomez,L,193,ECU,22.8911704312,15,0,7$5 6$4,3,QF,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,9,100656,"","",Ivan Lendl,R,188,USA,22.8665297741,3,0,100284,"","",Jimmy Connors,L,178,USA,30.3764544832,2,0,6$3 6$1,3,SF,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,10,100581,"","",John Mcenroe,L,180,USA,23.9206023272,1,0,100282,"","",Guillermo Vilas,L,180,ARG,30.4202600958,4,0,6$3 6$3,3,SF,,,,,,,,,,,,,,,,,,,,1983
1982$605,Masters,Carpet,12,A,19830118,11,100656,"","",Ivan Lendl,R,188,USA,22.8665297741,3,0,100581,"","",John Mcenroe,L,180,USA,23.9206023272,1,0,6$4 6$4 6$2,5,F,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,1,100518,"","",Ricardo Acuna,R,175,CHI,24.9719370294,101,0,100548,"","",Ivan Kley,R,183,BRA,24.514715948,233,0,6$4 6$1,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,2,100651,"","",Alejandro Ganzabal,R,180,ARG,22.8802190281,92,0,100715,"","",Jim Gurfein,L,175,USA,21.9958932238,118,0,1$6 7$5 6$0,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,3,100402,"","",Francisco Gonzalez,R,193,PAR,27.1238877481,114,0,100609,"","",Zoltan Kuharszky,R,183,HUN,23.4907597536,130,0,1$6 7$6 6$2,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,4,100436,"","",Nick Saviano,L,180,USA,26.5790554415,98,0,100233,"","",Ricardo Cano,R,170,ARG,31.8521560575,219,0,6$2 6$4,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,5,100799,"","",Carlos Castellan,R,190,ARG,20.900752909,122,0,100496,"",Q,Charles Buzz Strode,R,183,USA,25.3278576318,191,0,6$2 6$2,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,6,100323,"","",Givaldo Barbosa,R,183,BRA,28.93908282,110,0,100398,"","",Julio Goes,R,180,BRA,27.1923340178,117,0,6$4 7$6,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,7,100115,"","",Jaime Fillol,R,180,CHI,36.5859000684,77,0,100240,"","",Joao Soares,R,185,BRA,31.6933607118,96,0,6$7 6$1 7$6,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,8,100599,"","",Bernard Boileau,R,185,BEL,23.6112251882,71,0,100392,"",Q,Richard Meyer,R,183,USA,27.3319644079,248,0,6$1 6$1,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,9,100345,"","",Pat Dupre,R,190,USA,28.2984257358,82,0,100604,"","",Egan Adams,R,178,USA,23.5537303217,109,0,6$2 6$1,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,10,100155,"","",Ramiro Benavides,R,,BOL,34.9267624914,209,0,100681,"","",Morris Skip Strode,R,193,USA,22.5790554415,127,0,6$0 6$4,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,11,101131,"","",Jimmy Brown,R,180,USA,17.6837782341,97,0,100711,"","",Pedro Rebolledo,R,170,CHI,22.045174538,129,0,7$5 6$2,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,12,100553,"","",Nduka Odizor,R,183,NGR,24.4024640657,80,0,101076,"",Q,Cesar Kist,R,180,BRA,18.1984941821,,,6$2 3$6 6$3,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,13,100640,"","",Stefan Simonsson,R,175,SWE,22.9952087611,105,0,100797,"","",Ben Testerman,L,185,USA,20.9171800137,135,0,2$6 6$3 6$0,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,14,100752,"","",Ramesh Krishnan,R,170,IND,21.5797399042,100,0,100252,"","",Tim Gullikson,R,180,USA,31.3210130048,150,0,6$1 6$2,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,15,100993,"",Q,Loic Courteau,R,175,FRA,18.9924709103,166,0,100547,"","",Rocky Royer,R,,USA,24.5201916496,154,0,6$1 6$2,3,R64,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,16,100636,"","",Gustavo Tiberti,R,175,ARG,23.0636550308,158,0,100652,"","",Cassio Motta,R,180,BRA,22.8637919233,86,0,4$6 6$2 6$2,3,R64,,,,,,,,,,,,,,,,,,,,1983
